rms,group
0.061737526,fluent
0.026356643,fluent
0.07652727,fluent
0.049809597,stutter
0.04860836,fluent
0.074747905,fluent
0.051756594,fluent
0.048284546,fluent
0.033916075,fluent
0.042537227,stutter
0.0707261,stutter
0.057783365,fluent
0.066706225,fluent
0.05630514,stutter
0.054637436,stutter
0.053540837,fluent
0.04386226,fluent
0.06845957,stutter
0.08396446,fluent
0.06345094,stutter
0.08437206,fluent
0.06628455,fluent
0.08672021,fluent
0.07051164,fluent
0.06826289,fluent
0.061217852,stutter
0.065033756,stutter
0.069280535,stutter
0.026356643,stutter
0.04860836,fluent
0.074747905,stutter
0.048284546,stutter
0.07905772,stutter
0.033916075,stutter
0.042537227,stutter
0.0707261,stutter
0.057783365,stutter
0.066706225,stutter
0.07038466,stutter
0.05630514,stutter
0.054637436,fluent
0.053540837,stutter
0.050363105,stutter
0.04386226,stutter
0.043895427,stutter
0.08176156,stutter
0.06845957,stutter
0.08396446,stutter
0.06345094,stutter
0.06526093,stutter
0.06628455,stutter
0.05765376,stutter
0.08672021,stutter
0.045519244,stutter
0.07051164,stutter
0.052783776,stutter
0.06826289,stutter
0.061217852,stutter
0.06814601,stutter
1.0,stutter
0.030314587,stutter
0.037197895,stutter
0.06521656,stutter
0.03535059,stutter
1.0,stutter
0.07915382,stutter
0.053325206,fluent
0.07450369,stutter
0.04879729,stutter
0.07813367,stutter
0.0537354,stutter
0.04512235,stutter
0.048427545,stutter
0.0706498,stutter
1.0,stutter
1.0,stutter
0.05109739,stutter
0.045064207,stutter
0.052757036,stutter
0.043697495,stutter
0.047198202,stutter
0.0843278,stutter
0.080747984,stutter
0.043687806,stutter
0.04634684,stutter
0.053052943,stutter
0.0605688,stutter
0.072501205,stutter
0.05998979,stutter
0.058470946,stutter
0.06254535,stutter
0.08958032,stutter
0.051369164,stutter
0.043714628,stutter
0.052270975,stutter
0.08688494,fluent
0.06713104,stutter
0.032284636,stutter
0.06635342,stutter
0.052982643,stutter
0.089864686,stutter
0.055179495,stutter
0.054472912,stutter
0.051786773,stutter
0.05105729,stutter
0.059522085,stutter
0.06585923,stutter
0.03681049,stutter
0.06900002,stutter
0.06805966,stutter
0.040204246,stutter
0.056586467,stutter
0.06355635,stutter
0.07576158,stutter
0.08904556,stutter
0.075250536,stutter
0.063315645,fluent
0.035019796,stutter
0.06382627,stutter
0.04315006,stutter
0.099594824,stutter
0.05579641,stutter
0.04925105,stutter
0.073773324,stutter
0.016621651,stutter
0.07198586,stutter
0.06067671,stutter
0.04782634,stutter
0.06242141,stutter
0.04075482,stutter
0.070763156,stutter
0.022552954,stutter
0.07281198,stutter
0.03907765,stutter
0.050792955,stutter
0.05318381,stutter
0.038766533,stutter
0.041823763,stutter
0.03877881,stutter
0.06317574,stutter
0.06942352,stutter
0.041649316,stutter
0.048394576,stutter
0.050483108,stutter
0.06436568,stutter
0.04553191,stutter
0.070711836,stutter
0.08968081,stutter
0.05607916,stutter
0.062560625,stutter
0.05956895,stutter
0.061741766,stutter
0.04655031,stutter
0.06420085,stutter
0.066611744,stutter
0.06267369,stutter
0.04085453,stutter
0.07143618,stutter
0.05640913,stutter
0.063669376,stutter
0.074179545,stutter
0.072416246,stutter
0.07867434,fluent
0.045184545,stutter
0.032833274,fluent
0.07290345,stutter
0.060041297,stutter
0.06815269,stutter
0.060795404,stutter
0.056893226,stutter
0.036186356,stutter
0.057052217,fluent
0.044140536,stutter
0.056883432,stutter
0.042805895,stutter
0.0526485,stutter
0.05043159,stutter
0.042623512,stutter
0.03250598,stutter
0.06721986,stutter
0.055824455,stutter
0.036600977,stutter
0.072751895,stutter
